order_id,merchant_id,zone_id,checkout_timestamp,order_category,distance_km,merchant_notification_time,rider_notification_time,rider_arrival_time,out_for_delivery_time,delivery_timestamp
ORD000000,M073,Z2,2026-01-02 14:39:00,pharmacy,5.73,2026-01-02 14:40:33.223568,2026-01-02 14:40:43.138938,2026-01-02 15:00:05.472426,2026-01-02 15:00:05.472426,2026-01-02 15:26:21.234352
ORD000001,M034,Z6,2026-01-26 15:36:00,food,1.4,2026-01-26 15:37:00.769170,2026-01-26 15:37:11.015888,2026-01-26 15:47:52.534958,2026-01-26 16:04:29.678823,2026-01-26 16:11:34.116646
ORD000002,M055,Z4,2026-01-13 21:34:00,pharmacy,1.27,2026-01-13 21:35:51.229762,2026-01-13 21:36:00.630285,2026-01-13 21:57:01.063661,2026-01-13 21:57:01.063661,2026-01-13 22:05:00.557288
ORD000003,M043,Z8,2026-02-27 21:07:00,supermarket,1.38,2026-02-27 21:08:28.428927,2026-02-27 21:09:29.525386,2026-02-27 21:24:25.831582,2026-02-27 21:25:11.984323,2026-02-27 21:33:43.207229
ORD000004,M067,Z1,2026-02-18 16:25:00,food,3.36,2026-02-18 16:26:57.292296,2026-02-18 16:27:41.054271,2026-02-18 16:40:10.707273,2026-02-18 16:41:31.091148,2026-02-18 16:56:17.863141
ORD000005,M041,Z7,2026-01-17 14:23:00,pharmacy,0.84,2026-01-17 14:24:25.872512,2026-01-17 14:24:41.689609,2026-01-17 14:33:30.473725,2026-01-17 14:34:38.611156,2026-01-17 14:39:26.144284
ORD000006,M044,Z4,2026-02-26 22:21:00,food,2.96,2026-02-26 22:21:40.778592,2026-02-26 22:23:46.863274,2026-02-26 22:48:10.328142,2026-02-26 23:35:50.177156,2026-02-26 23:51:33.696150
ORD000007,M074,Z5,2026-01-11 23:12:00,supermarket,4.49,2026-01-11 23:12:34.664118,2026-01-11 23:13:40.392513,2026-01-11 23:34:59.354322,2026-01-11 23:34:59.354322,2026-01-11 23:56:19.777421
ORD000008,M026,Z6,2026-01-27 21:03:00,supermarket,4.77,2026-01-27 21:04:38.621282,2026-01-27 21:05:45.211876,2026-01-27 21:33:05.358335,2026-01-27 21:40:16.367588,2026-01-27 22:02:36.807355
ORD000009,M040,Z3,2026-03-16 23:06:00,supermarket,3.1,2026-03-16 23:07:36.375112,2026-03-16 23:07:54.266153,2026-03-16 23:14:45.767466,2026-03-16 23:21:23.908537,2026-03-16 23:33:35.587955
